impact,confidence,detector,finding
Informational,Medium,too-many-digits,Curve1Zones.config() (src/curves/Curve1Zones.sol#17-115) uses literals with too many digits:
Informational,Medium,too-many-digits,LinearZones.config() (src/curves/LinearZones.sol#19-129) uses literals with too many digits:
Informational,Medium,too-many-digits,LinearZones.config() (src/curves/LinearZones.sol#19-129) uses literals with too many digits:
Informational,Medium,too-many-digits,Curve1Zones.config() (src/curves/Curve1Zones.sol#17-115) uses literals with too many digits:
Informational,Medium,too-many-digits,LinearZonesLean.config() (src/curves/LinearZonesLean.sol#24-62) uses literals with too many digits:
Informational,Medium,too-many-digits,"ControllerDeployer.deployControllerAt(bytes32,PSPToken,IERC20,CurveMath.CurveConfig,address,address,StakerDeployer) (src/ControllerDeployer.sol#88-119) uses literals with too many digits:"
Informational,Medium,too-many-digits,LinearZones.config() (src/curves/LinearZones.sol#19-129) uses literals with too many digits:
Informational,Medium,too-many-digits,LinearZonesLean.config() (src/curves/LinearZonesLean.sol#24-62) uses literals with too many digits:
Informational,Medium,too-many-digits,Curve1Zones.config() (src/curves/Curve1Zones.sol#17-115) uses literals with too many digits:
Informational,Medium,too-many-digits,Curve1Zones.config() (src/curves/Curve1Zones.sol#17-115) uses literals with too many digits:
Informational,Medium,too-many-digits,Curve1Zones.config() (src/curves/Curve1Zones.sol#17-115) uses literals with too many digits:
Informational,Medium,too-many-digits,LinearZonesLean.config() (src/curves/LinearZonesLean.sol#24-62) uses literals with too many digits:
Informational,Medium,too-many-digits,LinearZonesLean.config() (src/curves/LinearZonesLean.sol#24-62) uses literals with too many digits:
Informational,Medium,too-many-digits,Curve2Zones.config() (src/curves/Curve2Zones.sol#17-73) uses literals with too many digits:
Informational,Medium,too-many-digits,LinearZones.config() (src/curves/LinearZones.sol#19-129) uses literals with too many digits:
Informational,Medium,too-many-digits,Curve2Zones.config() (src/curves/Curve2Zones.sol#17-73) uses literals with too many digits:
Informational,Medium,too-many-digits,LinearZones.config() (src/curves/LinearZones.sol#19-129) uses literals with too many digits:
Informational,Medium,too-many-digits,LinearZones.config() (src/curves/LinearZones.sol#19-129) uses literals with too many digits:
Informational,Medium,too-many-digits,PSPFactory._birthWire() (src/PSPFactory.sol#487-553) uses literals with too many digits:
Informational,Medium,too-many-digits,"StakerDeployer.predictStaker(bytes32,IERC20,IRoundController,address) (src/StakerDeployer.sol#50-65) uses literals with too many digits:"
Informational,Medium,too-many-digits,Curve2Zones.config() (src/curves/Curve2Zones.sol#17-73) uses literals with too many digits:
Informational,Medium,too-many-digits,LinearZones.config() (src/curves/LinearZones.sol#19-129) uses literals with too many digits:
Informational,Medium,too-many-digits,LinearZonesLean.slitherConstructorConstantVariables() (src/curves/LinearZonesLean.sol#21-63) uses literals with too many digits:
Informational,Medium,too-many-digits,Curve2Zones.config() (src/curves/Curve2Zones.sol#17-73) uses literals with too many digits:
Informational,Medium,too-many-digits,Curve1Zones.config() (src/curves/Curve1Zones.sol#17-115) uses literals with too many digits:
Informational,Medium,too-many-digits,"TokenDeployer.predictToken(bytes32,string,string,address) (src/ControllerDeployer.sol#211-226) uses literals with too many digits:"
Informational,Medium,too-many-digits,Curve1Zones.config() (src/curves/Curve1Zones.sol#17-115) uses literals with too many digits:
Informational,Medium,too-many-digits,LinearZones.config() (src/curves/LinearZones.sol#19-129) uses literals with too many digits:
Informational,Medium,too-many-digits,Curve3Zones.slitherConstructorConstantVariables() (src/curves/Curve3Zones.sol#14-176) uses literals with too many digits:
Informational,Medium,too-many-digits,Curve2Zones.config() (src/curves/Curve2Zones.sol#17-73) uses literals with too many digits:
Optimization,High,constable-states,PSPFactory.baseSymbol (src/PSPFactory.sol#128) should be constant 
Optimization,High,constable-states,PSPFactory.baseName (src/PSPFactory.sol#127) should be constant 
