impact,confidence,detector,finding
Medium,Medium,uninitialized-local,"CurveMath.computeBuyOutput(uint256,uint256,CurveMath.CurveConfig).lo (src/libraries/CurveMath.sol#237) is a local variable never initialized"
Medium,Medium,uninitialized-local,CurveHook.getLadder().out (src/CurveHook.sol#717) is a local variable never initialized
Medium,Medium,uninitialized-local,"HookDeployer.mineHook(IPoolManager,address,address,CurveMath.CurveConfig,address,uint256).scanFrom (src/HookDeployer.sol#107) is a local variable never initialized"
Medium,Medium,uninitialized-local,PSPReferralRegistry.payoutFor(address).seen (src/PSPReferralRegistry.sol#174) is a local variable never initialized
Medium,Medium,uninitialized-local,PSPFactory._itoa(uint256).digits (src/PSPFactory.sol#590) is a local variable never initialized
Medium,Medium,uninitialized-local,RoundController.detonate().nextRound (src/RoundController.sol#579) is a local variable never initialized
Medium,Medium,uninitialized-local,PSPFactory._birthWire().carry (src/PSPFactory.sol#506) is a local variable never initialized
Medium,Medium,unused-return,"PSPFactory._birthWire() (src/PSPFactory.sol#487-553) ignores return value by poolManager.initialize(key,79228162514264337593543950336) (src/PSPFactory.sol#531)"
Medium,Medium,unused-return,"PSPReinvestor.reinvestAll(uint256[],PoolKey,uint256,uint256) (src/PSPReinvestor.sol#84-126) ignores return value by zapIn.buyWithMixFor(key,mixIn,minPspOut,deadline,owner) (src/PSPReinvestor.sol#113)"
Medium,Medium,unused-return,PSPZapIn._wrap(uint256) (src/PSPZapIn.sol#154-159) ignores return value by mixETH.depositETH{value: ethAmount}() (src/PSPZapIn.sol#157)
Medium,Medium,unused-return,"CurveHook._settleCurrency(Currency,uint256) (src/CurveHook.sol#238-245) ignores return value by poolManager.settle() (src/CurveHook.sol#244)"
Medium,Medium,unused-return,PSPZapOut.unlockCallback(bytes) (src/PSPZapOut.sol#122-162) ignores return value by poolManager.settle() (src/PSPZapOut.sol#133)
Medium,Medium,unused-return,"PSPReinvestor.reinvest(uint256,PoolKey,uint256,uint256) (src/PSPReinvestor.sol#53-80) ignores return value by zapIn.buyWithMixFor(key,mixIn,minPspOut,deadline,owner) (src/PSPReinvestor.sol#68)"
Medium,Medium,unused-return,PSPZapIn.unlockCallback(bytes) (src/PSPZapIn.sol#163-204) ignores return value by poolManager.settle() (src/PSPZapIn.sol#173)
Medium,Medium,unused-return,"PSPZapOut.zapOut(PoolKey,uint256,uint256,uint256) (src/PSPZapOut.sol#55-85) ignores return value by mixETH.redeemETH(mixOut) (src/PSPZapOut.sol#81)"
Low,Medium,events-maths,RoundController.setFactoryRoundId(uint256) (src/RoundController.sol#238-240) should emit an event for: 
Low,Medium,events-maths,PSPStaker.lockGenesis(uint256) (src/PSPStaker.sol#629-644) should emit an event for: 
Low,Medium,events-maths,PSPStaker.addFees(uint256) (src/PSPStaker.sol#678-683) should emit an event for: 
Low,Medium,missing-zero-check,"PSPStaker.constructor(IERC20,IRoundController,address).descriptor_ (src/PSPStaker.sol#170) lacks a zero-check on :"
Low,Medium,missing-zero-check,PSPFactory.setDescriptor(address).descriptor_ (src/PSPFactory.sol#85) lacks a zero-check on :
Low,Medium,calls-loop,"PSPReinvestor.reinvestAll(uint256[],PoolKey,uint256,uint256) (src/PSPReinvestor.sol#84-126) has external calls inside a loop: share = (bought * staker.positions(pepeIds[i_scope_1]).amount) / totalShare (src/PSPReinvestor.sol#118)"
