detector,severity,confidence,description
reentrancy-no-eth,Medium,Medium,"Reentrancy in PSPFactory._birthWire() (src/PSPFactory.sol#483-549):
	External calls:
	- controller.setHook(hook) (src/PSPFactory.sol#496)
	- controller.setFactoryRoundId(r.newRoundId) (src/PSPFactory.sol#497)
	- controller.seedCarry(carry) (src/PSPFactory.sol#510)
	- poolManager.initialize(key,79228162514264337593543950336) (src/PSPFactory.sol#527)
	State variables written after the call(s):
	- reservation.active = false (src/PSPFactory.sol#546)
	PSPFactory.reservation (src/PSPFactory.sol#237) can be used in cross function reentrancies:
	- PSPFactory._birthContracts() (src/PSPFactory.sol#413-440)
	- PSPFactory._birthPeriphery() (src/PSPFactory.sol#444-476)
	- PSPFactory._birthWire() (src/PSPFactory.sol#483-549)
	- PSPFactory._reserve(uint128,string,string) (src/PSPFactory.sol#354-400)
	- PSPFactory.birthRound() (src/PSPFactory.sol#336-343)
	- PSPFactory.birthStep() (src/PSPFactory.sol#309-323)
	- PSPFactory.reservation (src/PSPFactory.sol#237)
	- PSPFactory.reservationActive() (src/PSPFactory.sol#325-327)
	- PSPFactory.reservationPhase() (src/PSPFactory.sol#329-331)
	- PSPFactory.reserveSpawn(uint256) (src/PSPFactory.sol#273-287)
	- PSPFactory.voidReservation() (src/PSPFactory.sol#348-351)
	- r.phase = 0 (src/PSPFactory.sol#547)
	PSPFactory.reservation (src/PSPFactory.sol#237) can be used in cross function reentrancies:
	- PSPFactory._birthContracts() (src/PSPFactory.sol#413-440)
	- PSPFactory._birthPeriphery() (src/PSPFactory.sol#444-476)
	- PSPFactory._birthWire() (src/PSPFactory.sol#483-549)
	- PSPFactory._reserve(uint128,string,string) (src/PSPFactory.sol#354-400)
	- PSPFactory.birthRound() (src/PSPFactory.sol#336-343)
	- PSPFactory.birthStep() (src/PSPFactory.sol#309-323)
	- PSPFactory.reservation (src/PSPFactory.sol#237)
	- PSPFactory.reservationActive() (src/PSPFactory.sol#325-327)
	- PSPFactory.reservationPhase() (src/PSPFactory.sol#329-331)
	- PSPFactory.reserveSpawn(uint256) (src/PSPFactory.sol#273-287)
	- PSPFactory.voidReservation() (src/PSPFactory.sol#348-351)"
reentrancy-no-eth,Medium,Medium,"Reentrancy in PSPStaker.withdraw(uint256) (src/PSPStaker.sol#566-594):
	External calls:
	- _settleAndPay(pepeId,msg.sender,true) (src/PSPStaker.sol#577)
		- ICurveHook(controller.hookAddress()).sendFees(to,paid) (src/PSPStaker.sol#428-433)
		- ICurveHook(controller.hookAddress()).sendFees(to,paid) (src/PSPStaker.sol#435)
	State variables written after the call(s):
	- delete isWithdrawing[pepeId] (src/PSPStaker.sol#589)
	PSPStaker.isWithdrawing (src/PSPStaker.sol#99) can be used in cross function reentrancies:
	- PSPStaker._earnedFees(uint256) (src/PSPStaker.sol#388-406)
	- PSPStaker.isWithdrawing (src/PSPStaker.sol#99)
	- PSPStaker.weightAt(uint256,uint256) (src/PSPStaker.sol#283-291)
	- PSPStaker.withdrawableAt(uint256) (src/PSPStaker.sol#764-768)
	- delete positions[pepeId] (src/PSPStaker.sol#588)
	PSPStaker.positions (src/PSPStaker.sol#97) can be used in cross function reentrancies:
	- PSPStaker._accrue(uint256) (src/PSPStaker.sol#413-418)
	- PSPStaker._earnedFees(uint256) (src/PSPStaker.sol#388-406)
	- PSPStaker._settleAndPay(uint256,address,bool) (src/PSPStaker.sol#422-439)
	- PSPStaker.positions (src/PSPStaker.sol#97)
	- PSPStaker.weightAt(uint256,uint256) (src/PSPStaker.sol#283-291)
	- PSPStaker.withdrawableAt(uint256) (src/PSPStaker.sol#764-768)"
reentrancy-no-eth,Medium,Medium,"Reentrancy in PSPStaker._settleAndPay(uint256,address,bool) (src/PSPStaker.sol#422-439):
	External calls:
	- ICurveHook(controller.hookAddress()).sendFees(to,paid) (src/PSPStaker.sol#428-433)
	- ICurveHook(controller.hookAddress()).sendFees(to,paid) (src/PSPStaker.sol#435)
	State variables written after the call(s):
	- positions[pepeId].feesPaid += paid (src/PSPStaker.sol#437)
	PSPStaker.positions (src/PSPStaker.sol#97) can be used in cross function reentrancies:
	- PSPStaker._accrue(uint256) (src/PSPStaker.sol#413-418)
	- PSPStaker._earnedFees(uint256) (src/PSPStaker.sol#388-406)
	- PSPStaker._settleAndPay(uint256,address,bool) (src/PSPStaker.sol#422-439)
	- PSPStaker.positions (src/PSPStaker.sol#97)
	- PSPStaker.weightAt(uint256,uint256) (src/PSPStaker.sol#283-291)
	- PSPStaker.withdrawableAt(uint256) (src/PSPStaker.sol#764-768)"
reentrancy-no-eth,Medium,Medium,"Reentrancy in PSPFactory.spawnNextRound(uint256) (src/PSPFactory.sol#558-575):
	External calls:
	- _birthContracts() (src/PSPFactory.sol#571)
		- t = address(tokenDeployer.deployTokenAt(r.tokenSalt,r.name,r.symbol,address(this))) (src/PSPFactory.sol#423-425)
		- c = address(controllerDeployer.deployControllerAt(r.controllerSalt,token,mixETH,cfg,address(this),descriptor,stakerDeployer)) (src/PSPFactory.sol#433-437)
	- _birthPeriphery() (src/PSPFactory.sol#572)
		- token.setController(address(controller)) (src/PSPFactory.sol#450)
		- registry = controllerDeployer.deployRegistryAt(registrySalt,controller.stakerAddress(),REFERRAL_MIN_STAKE) (src/PSPFactory.sol#458-460)
		- h = hookDeployer.deployHookAt(r.hookSalt,poolManager,address(controller),registry,_configWithTimings(),deployerCutTo) (src/PSPFactory.sol#467-469)
		- hook.configureSine(gameSineParams) (src/PSPFactory.sol#475)
	- _birthWire() (src/PSPFactory.sol#573)
		- controller.setHook(hook) (src/PSPFactory.sol#496)
		- controller.setFactoryRoundId(r.newRoundId) (src/PSPFactory.sol#497)
		- controller.seedCarry(carry) (src/PSPFactory.sol#510)
		- poolManager.initialize(key,79228162514264337593543950336) (src/PSPFactory.sol#527)
	State variables written after the call(s):
	- _birthWire() (src/PSPFactory.sol#573)
		- currentRoundId = r.newRoundId (src/PSPFactory.sol#538)
	PSPFactory.currentRoundId (src/PSPFactory.sol#89) can be used in cross function reentrancies:
	- PSPFactory._birthWire() (src/PSPFactory.sol#483-549)
	- PSPFactory._reserve(uint128,string,string) (src/PSPFactory.sol#354-400)
	- PSPFactory.birthRound() (src/PSPFactory.sol#336-343)
	- PSPFactory.currentRound() (src/PSPFactory.sol#619-621)
	- PSPFactory.currentRoundId (src/PSPFactory.sol#89)
	- PSPFactory.deployRound(PSPFactory.RoundParams) (src/PSPFactory.sol#179-190)
	- PSPFactory.reserveSpawn(uint256) (src/PSPFactory.sol#273-287)
	- PSPFactory.spawnNextRound(uint256) (src/PSPFactory.sol#558-575)
	- _birthWire() (src/PSPFactory.sol#573)
		- reservation.active = false (src/PSPFactory.sol#546)
		- r.phase = 0 (src/PSPFactory.sol#547)
	PSPFactory.reservation (src/PSPFactory.sol#237) can be used in cross function reentrancies:
	- PSPFactory._birthContracts() (src/PSPFactory.sol#413-440)
	- PSPFactory._birthPeriphery() (src/PSPFactory.sol#444-476)
	- PSPFactory._birthWire() (src/PSPFactory.sol#483-549)
	- PSPFactory._reserve(uint128,string,string) (src/PSPFactory.sol#354-400)
	- PSPFactory.birthRound() (src/PSPFactory.sol#336-343)
	- PSPFactory.birthStep() (src/PSPFactory.sol#309-323)
	- PSPFactory.reservation (src/PSPFactory.sol#237)
	- PSPFactory.reservationActive() (src/PSPFactory.sol#325-327)
	- PSPFactory.reservationPhase() (src/PSPFactory.sol#329-331)
	- PSPFactory.reserveSpawn(uint256) (src/PSPFactory.sol#273-287)
	- PSPFactory.voidReservation() (src/PSPFactory.sol#348-351)
	- _birthWire() (src/PSPFactory.sol#573)
		- rounds[r.newRoundId] = Round({token:token,controller:controller,hook:hook,destroyed:false,name:r.name,symbol:r.symbol}) (src/PSPFactory.sol#530-537)
	PSPFactory.rounds (src/PSPFactory.sol#90) can be used in cross function reentrancies:
	- PSPFactory._birthWire() (src/PSPFactory.sol#483-549)
	- PSPFactory.birthRound() (src/PSPFactory.sol#336-343)
	- PSPFactory.deployRound(PSPFactory.RoundParams) (src/PSPFactory.sol#179-190)
	- PSPFactory.getRound(uint256) (src/PSPFactory.sol#607-609)
	- PSPFactory.markDestroyed(uint256) (src/PSPFactory.sol#601-605)
	- PSPFactory.pspRoundToken(uint256) (src/PSPFactory.sol#624-628)
	- PSPFactory.reserveSpawn(uint256) (src/PSPFactory.sol#273-287)
	- PSPFactory.roundInfo(uint256) (src/PSPFactory.sol#649-680)
	- PSPFactory.roundPool(uint256) (src/PSPFactory.sol#631-642)
	- PSPFactory.rounds (src/PSPFactory.sol#90)
	- PSPFactory.spawnNextRound(uint256) (src/PSPFactory.sol#558-575)"
reentrancy-no-eth,Medium,Medium,"Reentrancy in PSPStaker._stake(address,uint256,uint256) (src/PSPStaker.sol#487-517):
	External calls:
	- _settleAndPay(pepeId,user,msg.sender == user) (src/PSPStaker.sol#493)
		- ICurveHook(controller.hookAddress()).sendFees(to,paid) (src/PSPStaker.sol#428-433)
		- ICurveHook(controller.hookAddress()).sendFees(to,paid) (src/PSPStaker.sol#435)
	State variables written after the call(s):
	- pos.startEpoch = e (src/PSPStaker.sol#499)
	PSPStaker.positions (src/PSPStaker.sol#97) can be used in cross function reentrancies:
	- PSPStaker._accrue(uint256) (src/PSPStaker.sol#413-418)
	- PSPStaker._earnedFees(uint256) (src/PSPStaker.sol#388-406)
	- PSPStaker._settleAndPay(uint256,address,bool) (src/PSPStaker.sol#422-439)
	- PSPStaker.positions (src/PSPStaker.sol#97)
	- PSPStaker.weightAt(uint256,uint256) (src/PSPStaker.sol#283-291)
	- PSPStaker.withdrawableAt(uint256) (src/PSPStaker.sol#764-768)
	- pos.creditCheckpoint = creditPerWeight (src/PSPStaker.sol#500)
	PSPStaker.positions (src/PSPStaker.sol#97) can be used in cross function reentrancies:
	- PSPStaker._accrue(uint256) (src/PSPStaker.sol#413-418)
	- PSPStaker._earnedFees(uint256) (src/PSPStaker.sol#388-406)
	- PSPStaker._settleAndPay(uint256,address,bool) (src/PSPStaker.sol#422-439)
	- PSPStaker.positions (src/PSPStaker.sol#97)
	- PSPStaker.weightAt(uint256,uint256) (src/PSPStaker.sol#283-291)
	- PSPStaker.withdrawableAt(uint256) (src/PSPStaker.sol#764-768)
	- pos.startEpoch = e (src/PSPStaker.sol#502)
	PSPStaker.positions (src/PSPStaker.sol#97) can be used in cross function reentrancies:
	- PSPStaker._accrue(uint256) (src/PSPStaker.sol#413-418)
	- PSPStaker._earnedFees(uint256) (src/PSPStaker.sol#388-406)
	- PSPStaker._settleAndPay(uint256,address,bool) (src/PSPStaker.sol#422-439)
	- PSPStaker.positions (src/PSPStaker.sol#97)
	- PSPStaker.weightAt(uint256,uint256) (src/PSPStaker.sol#283-291)
	- PSPStaker.withdrawableAt(uint256) (src/PSPStaker.sol#764-768)
	- pos.amount += amount (src/PSPStaker.sol#512)
	PSPStaker.positions (src/PSPStaker.sol#97) can be used in cross function reentrancies:
	- PSPStaker._accrue(uint256) (src/PSPStaker.sol#413-418)
	- PSPStaker._earnedFees(uint256) (src/PSPStaker.sol#388-406)
	- PSPStaker._settleAndPay(uint256,address,bool) (src/PSPStaker.sol#422-439)
	- PSPStaker.positions (src/PSPStaker.sol#97)
	- PSPStaker.weightAt(uint256,uint256) (src/PSPStaker.sol#283-291)
	- PSPStaker.withdrawableAt(uint256) (src/PSPStaker.sol#764-768)"
reentrancy-no-eth,Medium,Medium,"Reentrancy in PSPStaker._settleAndPay(uint256,address,bool) (src/PSPStaker.sol#422-439):
	External calls:
	- ICurveHook(controller.hookAddress()).sendFees(to,paid) (src/PSPStaker.sol#428-433)
	State variables written after the call(s):
	- accruedFees[pepeId] = paid (src/PSPStaker.sol#430)
	PSPStaker.accruedFees (src/PSPStaker.sol#129) can be used in cross function reentrancies:
	- PSPStaker._accrue(uint256) (src/PSPStaker.sol#413-418)
	- PSPStaker._liveCredit(uint256) (src/PSPStaker.sol#408-411)
	- PSPStaker._settleAndPay(uint256,address,bool) (src/PSPStaker.sol#422-439)
	- PSPStaker.accruedFees (src/PSPStaker.sol#129)"
reentrancy-no-eth,Medium,Medium,"Reentrancy in PSPFactory.birthStep() (src/PSPFactory.sol#309-323):
	External calls:
	- _birthPeriphery() (src/PSPFactory.sol#316)
		- token.setController(address(controller)) (src/PSPFactory.sol#450)
		- registry = controllerDeployer.deployRegistryAt(registrySalt,controller.stakerAddress(),REFERRAL_MIN_STAKE) (src/PSPFactory.sol#458-460)
		- h = hookDeployer.deployHookAt(r.hookSalt,poolManager,address(controller),registry,_configWithTimings(),deployerCutTo) (src/PSPFactory.sol#467-469)
		- hook.configureSine(gameSineParams) (src/PSPFactory.sol#475)
	State variables written after the call(s):
	- r.phase = PHASE_WIRE (src/PSPFactory.sol#317)
	PSPFactory.reservation (src/PSPFactory.sol#237) can be used in cross function reentrancies:
	- PSPFactory._birthContracts() (src/PSPFactory.sol#413-440)
	- PSPFactory._birthPeriphery() (src/PSPFactory.sol#444-476)
	- PSPFactory._birthWire() (src/PSPFactory.sol#483-549)
	- PSPFactory._reserve(uint128,string,string) (src/PSPFactory.sol#354-400)
	- PSPFactory.birthRound() (src/PSPFactory.sol#336-343)
	- PSPFactory.birthStep() (src/PSPFactory.sol#309-323)
	- PSPFactory.reservation (src/PSPFactory.sol#237)
	- PSPFactory.reservationActive() (src/PSPFactory.sol#325-327)
	- PSPFactory.reservationPhase() (src/PSPFactory.sol#329-331)
	- PSPFactory.reserveSpawn(uint256) (src/PSPFactory.sol#273-287)
	- PSPFactory.voidReservation() (src/PSPFactory.sol#348-351)"
reentrancy-no-eth,Medium,Medium,"Reentrancy in PSPStaker.requestWithdraw(uint256) (src/PSPStaker.sol#522-539):
	External calls:
	- _settleAndPay(pepeId,msg.sender,true) (src/PSPStaker.sol#528)
		- ICurveHook(controller.hookAddress()).sendFees(to,paid) (src/PSPStaker.sol#428-433)
		- ICurveHook(controller.hookAddress()).sendFees(to,paid) (src/PSPStaker.sol#435)
	State variables written after the call(s):
	- isWithdrawing[pepeId] = true (src/PSPStaker.sol#533)
	PSPStaker.isWithdrawing (src/PSPStaker.sol#99) can be used in cross function reentrancies:
	- PSPStaker._earnedFees(uint256) (src/PSPStaker.sol#388-406)
	- PSPStaker.isWithdrawing (src/PSPStaker.sol#99)
	- PSPStaker.weightAt(uint256,uint256) (src/PSPStaker.sol#283-291)
	- PSPStaker.withdrawableAt(uint256) (src/PSPStaker.sol#764-768)
	- pos.requestEpoch = e (src/PSPStaker.sol#532)
	PSPStaker.positions (src/PSPStaker.sol#97) can be used in cross function reentrancies:
	- PSPStaker._accrue(uint256) (src/PSPStaker.sol#413-418)
	- PSPStaker._earnedFees(uint256) (src/PSPStaker.sol#388-406)
	- PSPStaker._settleAndPay(uint256,address,bool) (src/PSPStaker.sol#422-439)
	- PSPStaker.positions (src/PSPStaker.sol#97)
	- PSPStaker.weightAt(uint256,uint256) (src/PSPStaker.sol#283-291)
	- PSPStaker.withdrawableAt(uint256) (src/PSPStaker.sol#764-768)"
reentrancy-no-eth,Medium,Medium,"Reentrancy in PSPStaker.cancelWithdraw(uint256) (src/PSPStaker.sol#543-560):
	External calls:
	- _settleAndPay(pepeId,msg.sender,true) (src/PSPStaker.sol#548)
		- ICurveHook(controller.hookAddress()).sendFees(to,paid) (src/PSPStaker.sol#428-433)
		- ICurveHook(controller.hookAddress()).sendFees(to,paid) (src/PSPStaker.sol#435)
	State variables written after the call(s):
	- isWithdrawing[pepeId] = false (src/PSPStaker.sol#556)
	PSPStaker.isWithdrawing (src/PSPStaker.sol#99) can be used in cross function reentrancies:
	- PSPStaker._earnedFees(uint256) (src/PSPStaker.sol#388-406)
	- PSPStaker.isWithdrawing (src/PSPStaker.sol#99)
	- PSPStaker.weightAt(uint256,uint256) (src/PSPStaker.sol#283-291)
	- PSPStaker.withdrawableAt(uint256) (src/PSPStaker.sol#764-768)
	- pos.requestEpoch = 0 (src/PSPStaker.sol#555)
	PSPStaker.positions (src/PSPStaker.sol#97) can be used in cross function reentrancies:
	- PSPStaker._accrue(uint256) (src/PSPStaker.sol#413-418)
	- PSPStaker._earnedFees(uint256) (src/PSPStaker.sol#388-406)
	- PSPStaker._settleAndPay(uint256,address,bool) (src/PSPStaker.sol#422-439)
	- PSPStaker.positions (src/PSPStaker.sol#97)
	- PSPStaker.weightAt(uint256,uint256) (src/PSPStaker.sol#283-291)
	- PSPStaker.withdrawableAt(uint256) (src/PSPStaker.sol#764-768)
	- pos.startEpoch = p.epoch (src/PSPStaker.sol#557)
	PSPStaker.positions (src/PSPStaker.sol#97) can be used in cross function reentrancies:
	- PSPStaker._accrue(uint256) (src/PSPStaker.sol#413-418)
	- PSPStaker._earnedFees(uint256) (src/PSPStaker.sol#388-406)
	- PSPStaker._settleAndPay(uint256,address,bool) (src/PSPStaker.sol#422-439)
	- PSPStaker.positions (src/PSPStaker.sol#97)
	- PSPStaker.weightAt(uint256,uint256) (src/PSPStaker.sol#283-291)
	- PSPStaker.withdrawableAt(uint256) (src/PSPStaker.sol#764-768)"
reentrancy-no-eth,Medium,Medium,"Reentrancy in PSPFactory.deployRound(PSPFactory.RoundParams) (src/PSPFactory.sol#179-190):
	External calls:
	- _birthContracts() (src/PSPFactory.sol#186)
		- t = address(tokenDeployer.deployTokenAt(r.tokenSalt,r.name,r.symbol,address(this))) (src/PSPFactory.sol#423-425)
		- c = address(controllerDeployer.deployControllerAt(r.controllerSalt,token,mixETH,cfg,address(this),descriptor,stakerDeployer)) (src/PSPFactory.sol#433-437)
	- _birthPeriphery() (src/PSPFactory.sol#187)
		- token.setController(address(controller)) (src/PSPFactory.sol#450)
		- registry = controllerDeployer.deployRegistryAt(registrySalt,controller.stakerAddress(),REFERRAL_MIN_STAKE) (src/PSPFactory.sol#458-460)
		- h = hookDeployer.deployHookAt(r.hookSalt,poolManager,address(controller),registry,_configWithTimings(),deployerCutTo) (src/PSPFactory.sol#467-469)
		- hook.configureSine(gameSineParams) (src/PSPFactory.sol#475)
	- _birthWire() (src/PSPFactory.sol#188)
		- controller.setHook(hook) (src/PSPFactory.sol#496)
		- controller.setFactoryRoundId(r.newRoundId) (src/PSPFactory.sol#497)
		- controller.seedCarry(carry) (src/PSPFactory.sol#510)
		- poolManager.initialize(key,79228162514264337593543950336) (src/PSPFactory.sol#527)
	State variables written after the call(s):
	- _birthWire() (src/PSPFactory.sol#188)
		- currentRoundId = r.newRoundId (src/PSPFactory.sol#538)
	PSPFactory.currentRoundId (src/PSPFactory.sol#89) can be used in cross function reentrancies:
	- PSPFactory._birthWire() (src/PSPFactory.sol#483-549)
	- PSPFactory._reserve(uint128,string,string) (src/PSPFactory.sol#354-400)
	- PSPFactory.birthRound() (src/PSPFactory.sol#336-343)
	- PSPFactory.currentRound() (src/PSPFactory.sol#619-621)
	- PSPFactory.currentRoundId (src/PSPFactory.sol#89)
	- PSPFactory.deployRound(PSPFactory.RoundParams) (src/PSPFactory.sol#179-190)
	- PSPFactory.reserveSpawn(uint256) (src/PSPFactory.sol#273-287)
	- PSPFactory.spawnNextRound(uint256) (src/PSPFactory.sol#558-575)
	- _birthWire() (src/PSPFactory.sol#188)
		- reservation.active = false (src/PSPFactory.sol#546)
		- r.phase = 0 (src/PSPFactory.sol#547)
	PSPFactory.reservation (src/PSPFactory.sol#237) can be used in cross function reentrancies:
	- PSPFactory._birthContracts() (src/PSPFactory.sol#413-440)
	- PSPFactory._birthPeriphery() (src/PSPFactory.sol#444-476)
	- PSPFactory._birthWire() (src/PSPFactory.sol#483-549)
	- PSPFactory._reserve(uint128,string,string) (src/PSPFactory.sol#354-400)
	- PSPFactory.birthRound() (src/PSPFactory.sol#336-343)
	- PSPFactory.birthStep() (src/PSPFactory.sol#309-323)
	- PSPFactory.reservation (src/PSPFactory.sol#237)
	- PSPFactory.reservationActive() (src/PSPFactory.sol#325-327)
	- PSPFactory.reservationPhase() (src/PSPFactory.sol#329-331)
	- PSPFactory.reserveSpawn(uint256) (src/PSPFactory.sol#273-287)
	- PSPFactory.voidReservation() (src/PSPFactory.sol#348-351)"
uninitialized-local,Medium,Medium,"PSPReinvestor.reinvestAll(uint256[],PoolKey,uint256,uint256).totalShare (src/PSPReinvestor.sol#104) is a local variable never initialized"
uninitialized-local,Medium,Medium,CurveHook.claimPot().amount (src/CurveHook.sol#773) is a local variable never initialized
uninitialized-local,Medium,Medium,"PSPStaker.claimAllTo(uint256[],address).totalPaid (src/PSPStaker.sol#633) is a local variable never initialized"
uninitialized-local,Medium,Medium,"CurveHook._beforeSwap(address,PoolKey,SwapParams,bytes).refTrader (src/CurveHook.sol#365) is a local variable never initialized"
uninitialized-local,Medium,Medium,PSPStaker._creditBeforeEpoch(uint256).lo (src/PSPStaker.sol#368) is a local variable never initialized
uninitialized-local,Medium,Medium,"SineMath.reserveAt(SineMath.Curve,uint256).candidate (src/libraries/SineMath.sol#232) is a local variable never initialized"
uninitialized-local,Medium,Medium,"CurveMath.computeBuyOutput(uint256,uint256,CurveMath.CurveConfig).lo (src/libraries/CurveMath.sol#237) is a local variable never initialized"
uninitialized-local,Medium,Medium,CurveHook.getLadder().out (src/CurveHook.sol#725) is a local variable never initialized
uninitialized-local,Medium,Medium,"HookDeployer.mineHook(IPoolManager,address,address,CurveMath.CurveConfig,address,uint256).scanFrom (src/HookDeployer.sol#107) is a local variable never initialized"
uninitialized-local,Medium,Medium,PSPReferralRegistry.payoutFor(address).seen (src/PSPReferralRegistry.sol#243) is a local variable never initialized
uninitialized-local,Medium,Medium,PSPFactory._itoa(uint256).digits (src/PSPFactory.sol#586) is a local variable never initialized
uninitialized-local,Medium,Medium,RoundController.detonate().nextRound (src/RoundController.sol#579) is a local variable never initialized
uninitialized-local,Medium,Medium,PSPFactory._birthWire().carry (src/PSPFactory.sol#502) is a local variable never initialized
unused-return,Medium,Medium,"PSPReinvestor.reinvestAll(uint256[],PoolKey,uint256,uint256) (src/PSPReinvestor.sol#84-126) ignores return value by zapIn.buyWithMixFor(key,mixIn,minPspOut,deadline,owner) (src/PSPReinvestor.sol#113)"
unused-return,Medium,Medium,"CurveHook._settleCurrency(Currency,uint256) (src/CurveHook.sol#239-246) ignores return value by poolManager.settle() (src/CurveHook.sol#245)"
unused-return,Medium,Medium,PSPZapIn._wrap(uint256) (src/PSPZapIn.sol#154-159) ignores return value by mixETH.depositETH{value: ethAmount}() (src/PSPZapIn.sol#157)
unused-return,Medium,Medium,PSPZapOut.unlockCallback(bytes) (src/PSPZapOut.sol#122-162) ignores return value by poolManager.settle() (src/PSPZapOut.sol#133)
unused-return,Medium,Medium,"PSPReinvestor.reinvest(uint256,PoolKey,uint256,uint256) (src/PSPReinvestor.sol#53-80) ignores return value by zapIn.buyWithMixFor(key,mixIn,minPspOut,deadline,owner) (src/PSPReinvestor.sol#68)"
unused-return,Medium,Medium,PSPZapIn.unlockCallback(bytes) (src/PSPZapIn.sol#163-204) ignores return value by poolManager.settle() (src/PSPZapIn.sol#173)
unused-return,Medium,Medium,"PSPFactory._birthWire() (src/PSPFactory.sol#483-549) ignores return value by poolManager.initialize(key,79228162514264337593543950336) (src/PSPFactory.sol#527)"
unused-return,Medium,Medium,"PSPZapOut.zapOut(PoolKey,uint256,uint256,uint256) (src/PSPZapOut.sol#55-85) ignores return value by mixETH.redeemETH(mixOut) (src/PSPZapOut.sol#81)"
unused-return,Medium,Medium,PSPReferralRegistry.unlockCallback(bytes) (src/PSPReferralRegistry.sol#161-180) ignores return value by manager.settle() (src/PSPReferralRegistry.sol#170)
events-maths,Low,Medium,"RoundController.setFactoryRoundId(uint256) (src/RoundController.sol#238-240) should emit an event for:
	- factoryRoundId = _roundId (src/RoundController.sol#239)"
events-maths,Low,Medium,"PSPStaker.lockGenesis(uint256) (src/PSPStaker.sol#648-663) should emit an event for:
	- totalLocked += amount (src/PSPStaker.sol#662)"
events-maths,Low,Medium,"PSPStaker.addFees(uint256) (src/PSPStaker.sol#698-703) should emit an event for:
	- pendingFeesMixETH += mixETHAmount (src/PSPStaker.sol#701)"
missing-zero-check,Low,Medium,"PSPFactory.setDescriptor(address).descriptor_ (src/PSPFactory.sol#85) lacks a zero-check on :
		- descriptor = descriptor_ (src/PSPFactory.sol#86)"
missing-zero-check,Low,Medium,"PSPStaker.constructor(IERC20,IRoundController,address).descriptor_ (src/PSPStaker.sol#177) lacks a zero-check on :
		- descriptor = descriptor_ (src/PSPStaker.sol#182)"
calls-loop,Low,Medium,"PSPReinvestor.reinvestAll(uint256[],PoolKey,uint256,uint256) (src/PSPReinvestor.sol#84-126) has external calls inside a loop: share = (bought * staker.positions(pepeIds[i_scope_1]).amount) / totalShare (src/PSPReinvestor.sol#118)"
calls-loop,Low,Medium,"PSPReinvestor.reinvestAll(uint256[],PoolKey,uint256,uint256) (src/PSPReinvestor.sol#84-126) has external calls inside a loop: staker.stakeFor(owner,pepeIds[i_scope_1],share) (src/PSPReinvestor.sol#119)"
calls-loop,Low,Medium,"PSPStaker._settleAndPay(uint256,address,bool) (src/PSPStaker.sol#422-439) has external calls inside a loop: ICurveHook(controller.hookAddress()).sendFees(to,paid) (src/PSPStaker.sol#428-433)
	Calls stack containing the loop:
		PSPStaker.claimAllTo(uint256[],address)"
calls-loop,Low,Medium,PSPFactory.birthRound() (src/PSPFactory.sol#336-343) has external calls inside a loop: this.birthStep() (src/PSPFactory.sol#339)
calls-loop,Low,Medium,"PSPReinvestor.reinvestAll(uint256[],PoolKey,uint256,uint256) (src/PSPReinvestor.sol#84-126) has external calls inside a loop: staker.isWithdrawing(pepeIds[i_scope_0]) (src/PSPReinvestor.sol#107)"
calls-loop,Low,Medium,"PSPStaker._settleAndPay(uint256,address,bool) (src/PSPStaker.sol#422-439) has external calls inside a loop: ICurveHook(controller.hookAddress()).sendFees(to,paid) (src/PSPStaker.sol#435)
	Calls stack containing the loop:
		PSPStaker.claimAllTo(uint256[],address)"
calls-loop,Low,Medium,"PSPReinvestor.reinvestAll(uint256[],PoolKey,uint256,uint256) (src/PSPReinvestor.sol#84-126) has external calls inside a loop: staker.ownerOf(pepeIds[i]) != owner (src/PSPReinvestor.sol#94)"
calls-loop,Low,Medium,"PSPReferralRegistry._ownerOf(uint256) (src/PSPReferralRegistry.sol#214-219) has external calls inside a loop: (ok,data) = address(staker).staticcall(abi.encodeWithSignature(ownerOf(uint256),nftId)) (src/PSPReferralRegistry.sol#215-216)
	Calls stack containing the loop:
		PSPReferralRegistry.chainOf(address)
		PSPReferralRegistry._nextEdge(uint256)"
calls-loop,Low,Medium,"PSPReferralRegistry._ownerOf(uint256) (src/PSPReferralRegistry.sol#214-219) has external calls inside a loop: (ok,data) = address(staker).staticcall(abi.encodeWithSignature(ownerOf(uint256),nftId)) (src/PSPReferralRegistry.sol#215-216)
	Calls stack containing the loop:
		PSPReferralRegistry.payoutFor(address)"
calls-loop,Low,Medium,"PSPReinvestor.reinvestAll(uint256[],PoolKey,uint256,uint256) (src/PSPReinvestor.sol#84-126) has external calls inside a loop: pos = staker.positions(pepeIds[i_scope_0]) (src/PSPReinvestor.sol#106)"
