detector,severity,confidence,description
incorrect-equality,Medium,High,"RoundController._predepositFor(address,uint256) (src/RoundController.sol#310-337) uses a dangerous strict equality:
	- actualAmount == 0 (src/RoundController.sol#334)"
incorrect-equality,Medium,High,"PSPStaker._distribute() (src/PSPStaker.sol#709-728) uses a dangerous strict equality:
	- delta == 0 (src/PSPStaker.sol#714)"
incorrect-equality,Medium,High,"PSPStaker.claimAllTo(uint256[],address) (src/PSPStaker.sol#631-641) uses a dangerous strict equality:
	- totalPaid == 0 (src/PSPStaker.sol#639)"
incorrect-equality,Medium,High,"PSPStaker.claimFeesTo(uint256,address) (src/PSPStaker.sol#622-628) uses a dangerous strict equality:
	- paid == 0 (src/PSPStaker.sol#626)"
incorrect-equality,Medium,High,"RoundController.seedCarry(uint256) (src/RoundController.sol#344-356) uses a dangerous strict equality:
	- actualAmount == 0 (src/RoundController.sol#352)"
incorrect-equality,Medium,High,"PSPStaker._unscheduleDecay(PSPStaker.Position,PSPStaker.GlobalPoint) (src/PSPStaker.sol#597-611) uses a dangerous strict equality:
	- p.epoch == r (src/PSPStaker.sol#602)"
incorrect-equality,Medium,High,"RoundController.mixETHToETH(uint256) (src/RoundController.sol#252-259) uses a dangerous strict equality:
	- mixETHAmount == 0 (src/RoundController.sol#253)"
incorrect-equality,Medium,High,"PSPStaker._settleAndPay(uint256,address,bool) (src/PSPStaker.sol#422-439) uses a dangerous strict equality:
	- paid == 0 (src/PSPStaker.sol#425)"
locked-ether,Medium,High,"Contract locking ether found:
	Contract ControllerDeployer (src/ControllerDeployer.sol#20-183) has payable functions:
	 - ControllerDeployer.deployController(PSPToken,IERC20,CurveMath.CurveConfig,address,address,StakerDeployer) (src/ControllerDeployer.sol#38-78)
	 - ControllerDeployer.deployControllerAt(bytes32,PSPToken,IERC20,CurveMath.CurveConfig,address,address,StakerDeployer) (src/ControllerDeployer.sol#88-119)
	But does not have a function to withdraw the ether"
reentrancy-no-eth,Medium,Medium,"Reentrancy in PSPFactory.birthStep() (src/PSPFactory.sol#309-323):
	External calls:
	- _birthContracts() (src/PSPFactory.sol#313)
		- t = address(tokenDeployer.deployTokenAt(r.tokenSalt,r.name,r.symbol,address(this))) (src/PSPFactory.sol#423-425)
		- c = address(controllerDeployer.deployControllerAt(r.controllerSalt,token,mixETH,cfg,address(this),descriptor,stakerDeployer)) (src/PSPFactory.sol#433-437)
	State variables written after the call(s):
	- r.phase = PHASE_PERIPHERY (src/PSPFactory.sol#314)
	PSPFactory.reservation (src/PSPFactory.sol#237) can be used in cross function reentrancies:
	- PSPFactory._birthContracts() (src/PSPFactory.sol#413-440)
	- PSPFactory._birthPeriphery() (src/PSPFactory.sol#444-476)
	- PSPFactory._birthWire() (src/PSPFactory.sol#483-549)
	- PSPFactory._reserve(uint128,string,string) (src/PSPFactory.sol#354-400)
	- PSPFactory.birthRound() (src/PSPFactory.sol#336-343)
	- PSPFactory.birthStep() (src/PSPFactory.sol#309-323)
	- PSPFactory.reservation (src/PSPFactory.sol#237)
	- PSPFactory.reservationActive() (src/PSPFactory.sol#325-327)
	- PSPFactory.reservationPhase() (src/PSPFactory.sol#329-331)
	- PSPFactory.reserveSpawn(uint256) (src/PSPFactory.sol#273-287)
	- PSPFactory.voidReservation() (src/PSPFactory.sol#348-351)"
